Unique_ID,Protein.Accession,Gene,Protein.Full.Name,Entry,Entry.name,Status,Protein.names,Gene.names,Organism,Gene.ontology.GO,Gene.ontology.IDs,ID,Protein.Accession1
Spis_Protein50,A0A2B4R4P4,Xrn1,5'-3' exoribonuclease 1 (Fragment),A0A2B4R4P4,A0A2B4R4P4_STYPI,unreviewed,5'-3' exoribonuclease 1 (Fragment),Xrn1 AWC38_SpisGene24782,Stylophora pistillata (Smooth cauliflower coral),5'-3' exonuclease activity [GO:0008409]; nucleic acid binding [GO:0003676]; nuclear-transcribed mRNA catabolic process [GO:0000956],GO:0000956; GO:0003676; GO:0008409,A0A2B4R4P4,A0A2B4R4P4
Spis_Protein51,A0A2B4R4S8,l1cam,Neural cell adhesion molecule L1,A0A2B4R4S8,A0A2B4R4S8_STYPI,unreviewed,Neural cell adhesion molecule L1,l1cam AWC38_SpisGene23375,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021],GO:0016021,A0A2B4R4S8,A0A2B4R4S8
Spis_Protein52,A0A2B4R4U3,AWC38_SpisGene24302,Uncharacterized protein,A0A2B4R4U3,A0A2B4R4U3_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene24302,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R4U3,A0A2B4R4U3
Spis_Protein53,A0A2B4R4V1,napA,Nck-associated protein 1-like (Fragment),A0A2B4R4V1,A0A2B4R4V1_STYPI,unreviewed,Nck-associated protein 1-like (Fragment),napA AWC38_SpisGene24894,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R4V1,A0A2B4R4V1
Spis_Protein54,A0A2B4R4Y4|A0A2B4R654,ATP13A1|ATP13A1,Putative cation-transporting ATPase 13A1 (Fragment)|Cation-transporting ATPase (Fragment),A0A2B4R4Y4|A0A2B4R654,A0A2B4R4Y4_STYPI,unreviewed,Putative cation-transporting ATPase 13A1 (Fragment); Cation-transporting ATPase (EC 7.2.2.-) (Fragment),ATP13A1 AWC38_SpisGene24658,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; nucleotide binding [GO:0000166]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; cation transport [GO:0006812],GO:0000166; GO:0016021; GO:0005524; GO:0006812;GO:0016887; GO:0046872,A0A2B4R4Y4,A0A2B4R4Y4
Spis_Protein55,A0A2B4R514,TTC28,Tetratricopeptide repeat protein 28,A0A2B4R514,A0A2B4R514_STYPI,unreviewed,Tetratricopeptide repeat protein 28,TTC28 AWC38_SpisGene22488,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R514,A0A2B4R514
Spis_Protein56,A0A2B4R520,ubiE,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (Fragment),A0A2B4R520,A0A2B4R520_STYPI,unreviewed,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (Fragment),ubiE AWC38_SpisGene24804,Stylophora pistillata (Smooth cauliflower coral),methyltransferase activity [GO:0008168]; methylation [GO:0032259],GO:0008168; GO:0032259,A0A2B4R520,A0A2B4R520
Spis_Protein57,A0A2B4R523,AWC38_SpisGene25000,VWFA domain-containing protein (Fragment),A0A2B4R523,A0A2B4R523_STYPI,unreviewed,VWFA domain-containing protein (Fragment),AWC38_SpisGene25000,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R523,A0A2B4R523
Spis_Protein58,A0A2B4R538,Ap3b2,AP-3 complex subunit beta-2 (Fragment),A0A2B4R538,A0A2B4R538_STYPI,unreviewed,AP-3 complex subunit beta-2 (Fragment),Ap3b2 AWC38_SpisGene24876,Stylophora pistillata (Smooth cauliflower coral),membrane coat [GO:0030117]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192],GO:0006886; GO:0016192; GO:0030117,A0A2B4R538,A0A2B4R538
Spis_Protein59,A0A2B4R553,MFAP4,Microfibril-associated glycoprotein 4,A0A2B4R553,A0A2B4R553_STYPI,unreviewed,Microfibril-associated glycoprotein 4,MFAP4 AWC38_SpisGene22449,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R553,A0A2B4R553
Spis_Protein60,A0A2B4R554,AWC38_SpisGene24558,Dynamin_M domain-containing protein,A0A2B4R554,A0A2B4R554_STYPI,unreviewed,Dynamin_M domain-containing protein,AWC38_SpisGene24558,Stylophora pistillata (Smooth cauliflower coral),GTP binding [GO:0005525],GO:0005525,A0A2B4R554,A0A2B4R554
Spis_Protein61,A0A2B4R561,THBS1,Thrombospondin-1 (Fragment),A0A2B4R561,A0A2B4R561_STYPI,unreviewed,Thrombospondin-1 (Fragment),THBS1 AWC38_SpisGene24848,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R561,A0A2B4R561
Spis_Protein62,A0A2B4R582,TTC28,Tetratricopeptide repeat protein 28,A0A2B4R582,A0A2B4R582_STYPI,unreviewed,Tetratricopeptide repeat protein 28,TTC28 AWC38_SpisGene24522,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R582,A0A2B4R582
Spis_Protein63,A0A2B4R592,2,Lysosomal protein NCU-G1-B (Fragment),A0A2B4R592,A0A2B4R592_STYPI,unreviewed,Lysosomal protein NCU-G1-B (Fragment),2 AWC38_SpisGene24808,Stylophora pistillata (Smooth cauliflower coral),lysosomal membrane [GO:0005765],GO:0005765,A0A2B4R592,A0A2B4R592
Spis_Protein64,A0A2B4R5D2,SFPQ,"Splicing factor, proline-and glutamine-rich",A0A2B4R5D2,A0A2B4R5D2_STYPI,unreviewed,"Splicing factor, proline-and glutamine-rich",SFPQ AWC38_SpisGene24842,Stylophora pistillata (Smooth cauliflower coral),RNA binding [GO:0003723],GO:0003723,A0A2B4R5D2,A0A2B4R5D2
Spis_Protein65,A0A2B4R5G4,ECE2,Endothelin-converting enzyme 2 (Fragment),A0A2B4R5G4,A0A2B4R5G4_STYPI,unreviewed,Endothelin-converting enzyme 2 (Fragment),ECE2 AWC38_SpisGene24703,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; metalloendopeptidase activity [GO:0004222],GO:0004222; GO:0005886; GO:0016021,A0A2B4R5G4,A0A2B4R5G4
Spis_Protein66,A0A2B4R5J7,AWC38_SpisGene24005,Uncharacterized protein,A0A2B4R5J7,A0A2B4R5J7_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene24005,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R5J7,A0A2B4R5J7
